distance,elevation
746.200253829999,324.357757568
724.78045823,324.056945801
703.36066263,323.793731689
681.94086703,323.492889404
660.52107143,323.267272949
639.101275829999,322.891235352
617.68148023,322.665618896
596.26168463,322.515228271
574.84188903,322.17678833
553.42209344,322.026367188
532.002297839999,321.687957764
510.582502239999,321.537536621
489.16270664,321.387115479
467.74291104,321.048675537
446.32311544,320.898284912
424.903319839999,320.710266113
403.483524239999,320.371826172
382.06372864,320.221405029
360.64393304,319.995788574
339.22413744,319.995788574
317.804341839999,319.920593262
296.38454624,319.694976807
274.96475064,319.58215332
253.54495504,319.506958008
232.12515944,319.281341553
210.70536385,319.168518066
189.285568249999,318.905303955
167.86577265,318.754882812
146.44597705,318.604492188
125.02618145,318.341247559
103.60638585,318.22845459
82.1865902499994,318.115631104
60.7667946499996,318.002838135
39.3469990499998,317.927612305
17.92720345,317.927612305
0,317.927612305
